# Copyright (C) 2024  Intel Corporation. All rights reserved.
# Your use of Intel Corporation's design tools, logic functions 
# and other software and tools, and any partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Intel Program License 
# Subscription Agreement, the Intel Quartus Prime License Agreement,
# the Intel FPGA IP License Agreement, or other applicable license
# agreement, including, without limitation, that your use is for
# the sole purpose of programming logic devices manufactured by
# Intel and sold by Intel or its authorized distributors.  Please
# refer to the applicable agreement for further details, at
# https://fpgasoftware.intel.com/eula.

# Quartus Prime Version 23.1std.1 Build 993 05/14/2024 SC Lite Edition
# File: D:\fpga\first_test\pins_top.csv
# Generated on: Mon Feb 10 22:25:50 2025

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus Prime software.

To,Direction,Location,I/O Bank,VREF Group,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,Transceiver Analog Settings Protocol,VCCR_GXB/VCCT_GXB Voltage,Transceiver I/O Pin Termination,Transceiver Dedicated Refclk Pin Termination,Transmitter Common Mode Driver Voltage,Transmitter Slew Rate Control,Transmitter Differential Output Voltage,Receiver Buffer Common Mode Voltage,Strict Preservation
AUDIO_DAC_MUTE,Output,PIN_AD26,5A,B5A_N0,3.3-V LVTTL,,,,,,,,,,,,,
AUDIO_I2S_ADC_LRCLK,Output,PIN_AG30,5A,B5A_N0,3.3-V LVTTL,,,,,,,,,,,,,
AUDIO_I2S_BCLK,Output,PIN_AE7,3A,B3A_N0,3.3-V LVTTL,,,,,,,,,,,,,
AUDIO_I2S_CHIP_CLK,Output,PIN_AC9,3A,B3A_N0,3.3-V LVTTL,,,,,,,,,,,,,
AUDIO_I2S_DAC_LRCLK,Output,PIN_AH4,3A,B3A_N0,3.3-V LVTTL,,,,,,,,,,,,,
AUDIO_I2S_DATAIN,Input,PIN_AC27,5A,B5A_N0,3.3-V LVTTL,,,,,,,,,,,,,
AUDIO_I2S_DATAOUT,Output,PIN_AG3,3A,B3A_N0,3.3-V LVTTL,,,,,,,,,,,,,
AUDIO_SCLK,Output,PIN_AH30,5A,B5A_N0,3.3-V LVTTL,,,,,,,,,,,,,
AUDIO_SDA,Output,PIN_AF30,5A,B5A_N0,3.3-V LVTTL,,,,,,,,,,,,,
DDR_ADDR[14],Output,PIN_AG12,3B,B3B_N0,SSTL-15 Class I,,,,,,,,,,,,,
